id,name,url,platform,catalog_type,government_level,country,country_name,owner_name,owner_type,api_endpoint,dataset_count,status
odh.bodik.jp,BODIK Open Data Hub,https://odh.bodik.jp,ckan,Open data portal,federal,JP,Japan,Big Data & Open Data Initiative Kyushu,Business,https://odh.bodik.jp/api/3,0,active
data.brisbane.qld.gov.au,Brisbane City Council Open Data,https://data.brisbane.qld.gov.au,ckan,Open data portal,local,AU,Australia,Brisbane City Council,Local government,https://data.brisbane.qld.gov.au/data/api/3,0,active
data.civicinfo.ca,British Columbia Local Government Open Data Catalogue,https://data.civicinfo.ca/,ckan,Open data portal,,CA,,,,https://data.civicinfo.ca/api/3,0,
bsos-data.umd.edu,BSOS Data Repository,https://bsos-data.umd.edu,ckan,Open data portal,state,US,United States,University of Maryland College of Behavioral and Social Sciences,Academy,,0,active
data.buenosaires.gob.ar,Buenos Aires Data,https://data.buenosaires.gob.ar,ckan,Open data portal,local,AR,Argentina,City of Buenos Aires,Local government,https://data.buenosaires.gob.ar/api/3,448,active
acikyesil.bursa.bel.tr,Bursa Metropolitan Municipality's Open Data Portal,https://acikyesil.bursa.bel.tr,ckan,Open data portal,state,TR,Turkey,Bursa Metropolitan Municipality,Regional government,https://acikyesil.bursa.bel.tr/api/3,49,active
datahub.bvcentre.ca,BVRC DataHub,https://datahub.bvcentre.ca,ckan,Open data portal,state,CA,Canada,Bulkley Valley Research Centre,Academy,https://datahub.bvcentre.ca/api/3,118,active
ckan.cabi.org,CABI Data Repository,https://ckan.cabi.org,ckan,Open data portal,federal,World,World,CABI,International,,0,active
data.caf.fr,Cafdata,https://data.caf.fr,ckan,Open data portal,state,FR,France,Caisse Nationale des Allocations Familiales,Central government,,0,active
dataworks.calderdale.gov.uk,Calderdale Data Works,https://dataworks.calderdale.gov.uk,ckan,Open data portal,local,GB,United Kingdom,Calderdale Council,Local government,,0,active
data.chhs.ca.gov,California Health and Human Services Open Data Portal,https://data.chhs.ca.gov,ckan,Open data portal,state,US,United States,California Health and Human Services,Regional government,https://data.chhs.ca.gov/api/3,472,active
data.cnra.ca.gov,California Natural Resources Agency Open Data,https://data.cnra.ca.gov,ckan,Open data portal,state,US,United States,California Natural Resources Agency,Regional government,https://data.cnra.ca.gov/api/3,21005,active
data.ca.gov,California Open Data Portal,https://data.ca.gov,ckan,Open data portal,state,US,United States,State of California,Regional government,https://data.ca.gov/api/3,4362,active
opendata.calstate.edu,California State University Open Data Portal,http://opendata.calstate.edu,ckan,Open data portal,state,US,United States,California State University,Academy,http://opendata.calstate.edu/api/3,0,active
dados.cm-lisboa.pt,Câmara Municipal de Lisboa Open Data Portal,https://dados.cm-lisboa.pt,ckan,Open data portal,state,PT,Portugal,Câmara Municipal de Lisboa,Regional government,https://dados.cm-lisboa.pt/api/3,400,active
data.asc-csa.gc.ca,Canadian Space Agency Open Data Portal,https://data.asc-csa.gc.ca,ckan,Open data portal,federal,CA,Canada,Canadian Space Agency,Central government,https://data.asc-csa.gc.ca/api/3,0,active
data.urbandatacentre.ca,Canadian Urban Data Catalogue (CUDC),https://data.urbandatacentre.ca/,ckan,Open data portal,federal,CA,Canada,Urban Data Centre,Academy,,0,active
betadata.urbandatacentre.ca,Canadian Urban Data Catalogue (CUDC),https://betadata.urbandatacentre.ca/,ckan,Open data portal,federal,CA,Canada,Urban Data Centre,Academy,,0,active
canwin-datahub.ad.umanitoba.ca,Canadian Watershed Information Network,https://canwin-datahub.ad.umanitoba.ca/data,ckan,Open data portal,state,CA,Canada,"University of Manitoba, Centre for Earth Observation Science",Academy,https://canwin-datahub.ad.umanitoba.ca/data/api/3,47435,active
acikveri.canakkale.bel.tr,Canakkale Municipality Open Data Platform,https://acikveri.canakkale.bel.tr,ckan,Open data portal,local,TR,Turkey,Canakkale Municipality,Local government,https://acikveri.canakkale.bel.tr/api/3,104,active
haleandhearty.staging.derilinx.com,Cannot extract information. No data available from the provided URL.,https://haleandhearty.staging.derilinx.com,ckan,Open data portal,federal,BR,Brazil,Derilinx,Academy,https://haleandhearty.staging.derilinx.com/api/3,0,active
data.capitol.texas.gov,Capitol Data Portal,https://data.capitol.texas.gov,ckan,Open data portal,state,US,United States,Texas Legislative Council,Regional government,https://data.capitol.texas.gov/api/3,907,active
capsella.madgik.di.uoa.gr,CAPSELLA,http://capsella.madgik.di.uoa.gr/,ckan,Open data portal,federal,GR,Greece,CAPSELLA Consortium,Academy,http://capsella.madgik.di.uoa.gr/api/3,0,active
datosabiertos.carchi.gob.ec,Carchi Datos Abiertos,https://datosabiertos.carchi.gob.ec,ckan,Open data portal,state,EC,Ecuador,Gobierno de la Provincia del Carchi,Regional government,https://datosabiertos.carchi.gob.ec/api/3,1361,active
opencaribbean.org,Caribbean Open Institute Open Data Portal,http://opencaribbean.org,ckan,Open data portal,federal,Caribbean,Caribbean,Caribbean Open Institute,Civil society,http://opencaribbean.org/api/3,0,active
portal.crfm.int,Caribbean Regional Fisheries Mechanism portal,https://portal.crfm.int,ckan,Open data portal,federal,Caribbean,Caribbean,Caribbean Regional Fisheries Mechanism.,Civil society,https://portal.crfm.int/api/3,161,active
oneclick.cartodb.com,CARTO Spatial Data Catalog,https://oneclick.cartodb.com,ckan,Open data portal,federal,US,United States,Carto,Business,,0,active
catalogo.datos.gba.gob.ar,Catalog requirements schema,https://catalogo.datos.gba.gob.ar,ckan,Open data portal,state,AR,Argentina,Buenos Aires Province,Regional government,,0,active
dati.regione.sardegna.it,Catalogo dati - Regione Autonoma della Sardegna,http://dati.regione.sardegna.it,ckan,Open data portal,state,IT,Italy,Regione Autonoma della Sardegna,Regional government,http://dati.regione.sardegna.it/api/3,0,active
catalogodedados.serpro.gov.br,Catálogo de Dados - SERPRO,https://catalogodedados.serpro.gov.br,ckan,Open data portal,federal,BR,Brazil,SERPRO - Serviço Federal de Processamento de Dados,Central government,https://catalogodedados.serpro.gov.br/api/3,2,active
datos.santander.es,Catálogo de Datos - Datos Abiertos Santander,https://datos.santander.es,ckan,Open data portal,local,ES,Spain,Santander,Local government,http://apicatalogo.santander.es/api/3,61,active
datos.aytolalaguna.es,Catálogo de datos abiertos - Sede Electrónica del Ayuntamiento de La Laguna,https://datos.aytolalaguna.es,ckan,Open data portal,local,ES,Spain,Ayntamiento San Cristóbal de La Laguna,Local government,https://datos.aytolalaguna.es/api/3,0,active
leganes.org,Catálogo de datos abiertos Ayuntamiento de Leganés,https://www.leganes.org/web/datos-abiertos,ckan,Open data portal,local,ES,Spain,Catálogo de datos abiertos Ayuntamiento de Leganés,Local government,,0,active
catalogodatos.gub.uy,Catálogo de Datos Abiertos de la República Oriental del Uruguay,https://catalogodatos.gub.uy,ckan,Open data portal,federal,UY,Uruguay,República Oriental del Uruguay,Central government,https://catalogodatos.gub.uy/api/3,2658,active
catalogo.datosabiertos.gob.ec,Catálogo de Datos Abiertos Ecuador,https://catalogo.datosabiertos.gob.ec,ckan,Open data portal,federal,EC,Ecuador,Gobierno del Ecuador,Central government,https://catalogo.datosabiertos.gob.ec/api/3,0,active
gobiernoabierto.quito.gob.ec,Catálogo de Datos Abiertos Municipio de Quito,https://gobiernoabierto.quito.gob.ec/catalogo-datos-abiertos/,ckan,Open data portal,local,EC,Ecuador,Municipio de Quito,Local government,,0,active
catalogo.smartcostadelsol.es,Catalogo Smartcostadelsol Es Open Data Portal,https://catalogo.smartcostadelsol.es,ckan,Open data portal,federal,ES,Spain,Smartcostadelsol,Local government,https://catalogo.smartcostadelsol.es/api/3,0,active
catalogue.slgo.ca,Catalogue de données OGSL,https://catalogue.slgo.ca,ckan,Open data portal,state,CA,Canada,The St. Lawrence Global Observatory,Regional government,https://catalogue.slgo.ca/api/3,0,active
data.ccca.ac.at,CCCA Data Server,https://data.ccca.ac.at,ckan,Open data portal,federal,AT,Austria,The Climate Change Centre Austria – CCCA,Academy,https://data.ccca.ac.at/api/3,0,active
datahub.digicirc.eu,CE data hub,https://datahub.digicirc.eu,ckan,Open data portal,federal,EU,European Union,DigiCirc,International,https://datahub.digicirc.eu/api/3,281,active
opendata.centralbank.ie,Central Bank of Ireland Open Data Portal,https://opendata.centralbank.ie,ckan,Open data portal,federal,IE,Ireland,Central Bank of Ireland,Central government,https://opendata.centralbank.ie/api/3,0,active
valleyhousingrepository.library.fresnostate.edu,Central Valley Housing Data Repository,http://valleyhousingrepository.library.fresnostate.edu,ckan,Open data portal,state,US,United States,"California State University, Fresno (Fresno State) Library",Academy,http://valleyhousingrepository.library.fresnostate.edu/api/3,34,active
data2.cerdi.edu.au,Centre for eResearch and Digital Innovation (CeRDI) Data Catalog,https://data2.cerdi.edu.au,ckan,Open data portal,federal,AU,Australia,Centre for eResearch and Digital Innovation,Academy,https://data2.cerdi.edu.au/api/3,937,active
datos.cicy.mx,Centro de Investigación Científica de Yucatán (CICY) Open Data Portal,https://datos.cicy.mx,ckan,Open data portal,state,MX,Mexico,Centro de Investigación Científica de Yucatán (CICY),Academy,,0,active
